Date,Open,High,Low,Close,Volume,Quote Volume,Weighted Price
2015-08-08,13512.9739945125,13512.9739945125,0.7080798373124552,0.8445581720622325,325879.7783428573,71944716.8317234,1.2241619349212787
2015-08-09,0.7921691442881339,1.0826347726430252,0.6337374278886001,0.6814499344907631,237156.0145816559,82910778.41772835,0.7553014694207145
2015-08-10,0.702806738882665,0.7697043417958271,0.5834710054272,0.7014859726976524,190520.59265013057,75473408.38127667,0.6694905444727718
2015-08-11,0.7047396826580459,1.1703148803005001,0.6420773002375925,1.0506475239832278,799876.7366308043,243409136.20404923,0.8740496683524284
2015-08-12,1.0629435046472353,1.3122566854097295,0.7821449795463498,1.2095274844012502,1260616.5901234662,300452150.4234862,1.127744611583746
2015-08-13,1.1934718045548753,2.1214624365854324,1.0635159858366778,1.844547804173479,2172828.1398459803,360985072.7467707,1.5963772771343383
2015-08-14,1.8276837667189723,2.361047197620738,1.726688432103375,1.8146246892847873,3095168.438839493,406755910.19606346,2.0213943008072954
2015-08-15,1.821693973840033,1.913889008024985,1.5140938540227749,1.6939257030005674,1260545.5288062058,195545680.36321315,1.712331240394469
2015-08-16,1.656057545406187,1.703321536822829,1.0777488504297028,1.6074924957642847,1990871.7908649785,381567947.7653865,1.3549703385465457
2015-08-17,1.6008889626019511,1.6021846761172613,1.1366562759787897,1.2276950213928393,1194507.1605217187,230333588.68502718,1.3412264223810484
2015-08-18,1.148147076290878,1.3165110369319417,1.0417827930964056,1.2594372202572248,1059076.2937479173,220312064.40077782,1.1780796451802678
2015-08-19,1.1916244723851752,1.321451263150875,1.1603269424684437,1.2750938255053228,864288.6511626128,159755859.16953963,1.2542311238963846
2015-08-20,1.2854201891433563,1.5354844687523252,1.2219020812411483,1.4536854483469503,1691172.11695777,287385032.83567023,1.375319649683732
2015-08-21,1.4638047552859375,1.5872327722516477,1.3375896540661627,1.3956055062152635,1329727.0016037743,211001468.11946374,1.4759765845870911
2015-08-22,1.3598843833414194,1.4811119097613301,1.324784997868185,1.358572150139397,521531.28604831046,84536171.82036595,1.4079280935483465
2015-08-23,1.3675718985910892,1.460648618937508,1.286280531209674,1.352878113490862,993741.3041312547,169002368.74519295,1.3508449678039172
